heading_area_m2,heading_length_m,explosive_kg,fan_capacity_m3s,duct_distance_from_face_m,temperature_c,humidity_pct,initial_co_ppm,initial_nox_ppm,safe_reentry_time_mins
15.0,92.3,110.7,14.0,18.0,32.1,92.0,1230.0,369.48,39.5
24.2,87.5,125.6,12.7,8.4,35.8,78.4,905.0,137.55,17.8
20.7,33.1,60.1,9.3,22.4,26.6,85.4,1963.0,260.3,29.6
18.6,70.9,105.0,5.1,17.3,26.7,75.3,1448.0,405.77,109.2
11.5,75.6,98.6,12.4,8.1,32.2,82.1,2605.0,466.71,18.4
11.5,77.9,129.9,9.3,24.2,37.3,71.9,2804.0,829.22,27.1
9.9,99.6,138.7,16.0,15.4,30.4,70.5,2739.0,521.03,15.0
22.9,94.0,31.5,5.4,6.5,29.3,80.2,295.0,80.19,42.8
18.6,102.9,110.9,13.8,17.5,32.9,77.4,1280.0,219.59,35.0
20.3,121.8,36.2,19.1,10.1,37.1,80.3,259.0,86.56,15.6
9.3,127.6,95.9,7.6,21.1,35.9,70.0,1306.0,470.39,49.7
24.5,116.2,64.5,12.1,21.4,37.9,72.8,466.0,75.12,36.7
22.3,144.7,66.8,6.4,24.6,25.3,62.9,378.0,114.72,114.0
12.4,32.2,72.4,14.4,15.0,26.5,61.8,3522.0,977.39,15.0
11.9,53.5,104.6,13.3,14.1,32.9,68.9,3524.0,466.55,18.0
11.9,30.9,70.1,11.1,20.1,35.7,62.6,3789.0,854.48,15.0
13.9,107.7,117.9,12.8,7.6,28.7,63.6,1674.0,180.87,20.1
17.4,137.8,78.5,18.4,15.9,28.1,88.5,670.0,175.23,21.3
15.9,59.2,38.2,7.9,15.9,35.2,61.4,908.0,109.4,23.4
13.7,141.2,124.1,5.3,6.8,25.7,83.1,1418.0,146.81,68.2
18.8,37.2,64.3,17.9,13.4,29.8,69.5,1869.0,330.92,15.0
11.2,142.1,81.9,13.7,22.1,31.6,90.5,1118.0,221.08,45.2
13.7,72.2,112.3,18.4,22.1,32.3,77.0,2699.0,616.26,27.9
14.9,42.2,69.9,14.0,7.0,34.5,70.7,2155.0,657.65,15.0
16.3,88.3,36.8,17.2,6.8,29.6,78.1,489.0,96.07,15.7
21.6,60.8,74.9,11.4,10.3,33.0,73.4,1293.0,128.0,15.5
12.2,64.2,143.3,16.2,22.5,32.6,79.8,3814.0,914.97,20.7
17.2,66.9,107.0,18.7,7.6,32.1,64.0,1459.0,395.74,15.0
18.5,126.4,110.6,13.6,19.4,33.3,94.9,1133.0,179.55,44.3
9.7,94.7,105.9,7.7,7.0,28.4,74.9,1757.0,371.44,35.3
18.7,67.4,53.9,9.0,17.5,26.1,72.2,961.0,171.32,19.2
11.7,103.2,80.2,8.0,12.1,26.6,84.9,1496.0,222.2,32.7
10.0,115.9,120.1,8.7,20.8,27.9,72.7,2531.0,518.79,52.3
24.2,62.7,42.2,9.6,9.7,31.5,89.2,432.0,116.09,26.7
24.5,79.6,63.3,13.3,17.8,35.9,75.9,682.0,179.19,28.4
21.9,44.6,63.2,13.8,9.7,34.1,85.2,1244.0,269.33,22.1
13.9,51.7,81.8,11.4,19.3,35.3,63.8,2087.0,336.7,22.5
10.6,111.7,147.6,14.2,22.5,29.6,89.6,1989.0,676.08,28.7
19.9,51.8,38.1,6.2,7.5,30.3,85.8,761.0,156.01,20.9
16.0,93.0,92.2,6.3,22.3,30.1,67.4,1223.0,174.77,73.8
11.0,115.1,51.5,7.6,16.9,27.5,65.1,656.0,183.7,36.3
16.9,42.8,146.5,12.8,7.5,25.8,71.1,4270.0,693.45,15.0
9.6,98.1,43.6,8.2,13.6,32.7,94.2,1042.0,250.3,38.1
23.5,60.8,78.4,9.2,8.2,37.9,69.0,1242.0,208.93,25.0
13.1,145.6,118.5,11.0,19.0,27.2,76.0,1491.0,304.07,55.8
19.6,88.0,114.5,17.2,20.2,25.6,61.1,1268.0,158.15,20.4
14.0,126.7,80.7,5.2,7.1,35.1,73.9,1117.0,163.24,44.0
17.3,96.0,71.6,14.7,15.1,28.3,80.0,1018.0,255.34,19.6
17.7,35.2,77.7,15.0,21.3,35.8,93.4,2234.0,650.91,15.0
12.0,106.0,61.7,17.0,23.7,34.2,78.1,808.0,128.55,30.4
24.5,144.2,54.6,19.0,15.3,37.3,88.7,299.0,48.1,31.0
21.4,102.2,88.0,5.3,24.0,30.3,79.1,765.0,133.5,116.1
24.0,128.3,62.2,7.3,15.7,33.6,61.4,419.0,92.86,55.6
23.3,136.1,64.5,18.3,12.9,31.0,71.0,423.0,102.18,36.7
18.6,57.4,108.8,11.9,22.0,33.2,80.1,2298.0,510.58,27.3
23.7,55.4,146.2,13.5,14.9,30.8,93.3,2232.0,448.56,33.5
10.4,103.3,102.4,14.9,14.4,27.5,90.1,1528.0,499.1,31.7
12.1,79.3,39.2,15.2,14.8,31.6,68.0,961.0,152.78,15.0
9.7,130.8,39.1,19.0,21.9,31.9,67.7,556.0,76.67,17.1
14.2,138.0,144.2,20.0,21.6,35.5,67.0,1817.0,313.13,27.5
15.2,72.4,65.7,15.8,13.1,34.6,92.3,964.0,346.2,24.5
13.3,58.4,41.0,9.3,11.7,33.6,89.8,1295.0,272.36,20.3
22.3,123.7,101.9,18.2,14.8,26.5,87.1,589.0,159.7,29.3
14.7,63.0,104.8,5.7,16.5,34.4,73.7,1959.0,519.2,42.0
13.5,128.7,107.8,8.5,9.8,31.5,77.7,960.0,355.2,41.8
17.7,80.8,62.1,18.5,20.9,36.6,76.3,958.0,161.27,18.0
11.3,110.1,31.8,8.8,14.7,37.0,68.9,603.0,85.37,28.1
21.8,41.5,145.8,8.3,11.7,25.7,77.7,3115.0,951.58,33.5
10.2,104.9,60.1,7.1,7.1,35.7,61.1,1366.0,306.69,21.6
24.8,84.2,111.1,17.9,9.8,25.5,64.6,1113.0,175.24,15.9
21.4,100.4,114.8,12.5,24.0,29.8,91.0,1140.0,206.42,87.9
12.2,50.2,103.2,15.1,11.1,32.0,86.3,3962.0,618.3,15.0
9.1,118.4,67.5,8.6,8.4,26.9,74.8,1128.0,162.95,15.0
22.0,133.5,62.5,16.4,14.2,34.7,78.1,394.0,123.85,27.0
20.3,56.0,101.7,16.4,11.1,25.1,72.9,2151.0,323.46,15.0
20.7,41.5,133.9,9.7,5.7,27.2,85.9,3751.0,859.48,15.0
21.3,32.8,143.6,11.2,11.5,32.6,87.4,5075.0,565.1,20.8
10.2,107.0,42.7,8.1,15.9,34.3,86.7,941.0,164.21,27.0
14.7,102.9,48.6,19.6,16.0,36.9,85.3,522.0,67.18,15.0
10.9,95.6,143.4,14.7,12.1,34.2,67.2,3211.0,698.68,20.5
22.8,57.8,118.4,19.0,13.9,33.7,71.8,1714.0,388.01,20.0
19.0,76.9,136.0,9.6,24.3,30.1,76.4,2321.0,419.51,81.9
14.3,101.3,54.3,16.7,12.5,25.0,71.6,740.0,82.75,16.8
10.0,89.6,100.5,16.5,10.2,26.6,86.4,2300.0,318.47,15.0
14.0,148.5,114.1,15.4,9.9,31.9,71.5,1116.0,126.31,26.8
14.2,46.4,111.6,19.5,14.2,33.8,64.8,3087.0,534.77,15.1
20.7,113.4,79.0,10.9,20.2,30.4,74.0,531.0,151.9,41.1
19.2,78.5,31.8,7.0,9.1,34.5,94.3,506.0,90.09,37.0
23.2,81.4,100.0,15.1,19.2,31.8,67.9,1219.0,235.54,51.2
16.6,116.1,60.4,15.9,5.4,26.0,81.4,515.0,131.81,21.0
10.9,113.1,84.0,13.6,13.4,27.5,75.2,1550.0,210.52,22.3
20.4,149.0,144.9,8.1,20.5,35.9,62.5,1013.0,141.94,87.3
21.2,45.4,77.9,12.6,11.8,34.4,77.1,1547.0,206.44,15.0
18.0,42.5,130.8,9.7,16.3,36.6,84.6,3002.0,923.64,15.1
21.3,116.9,52.6,11.4,9.1,26.5,78.0,498.0,94.21,29.8
16.9,99.4,110.7,14.7,19.8,37.9,90.5,1450.0,180.93,25.8
17.4,62.9,147.2,16.2,6.0,27.7,70.1,2761.0,365.19,15.0
15.8,39.5,42.2,8.5,22.1,25.2,63.0,1423.0,370.37,32.2
9.4,40.3,31.0,11.1,9.0,38.0,92.8,1302.0,406.69,15.0
10.7,137.3,82.0,9.0,22.5,28.7,73.2,1099.0,258.31,33.3
9.5,53.0,41.1,8.0,12.1,33.7,80.2,1382.0,295.99,21.8
19.2,68.8,119.8,16.8,19.5,27.3,87.7,1551.0,276.67,29.5
14.0,57.2,139.7,18.6,11.4,32.5,71.4,3764.0,1030.54,15.0
17.1,72.6,82.1,10.6,23.1,36.8,85.1,1591.0,342.34,43.3
23.5,38.3,61.0,16.3,7.5,29.2,64.7,1289.0,217.15,22.0
13.0,92.3,82.1,18.5,8.6,33.7,70.2,1170.0,369.31,15.0
15.6,38.1,116.8,17.7,14.9,27.4,65.1,4231.0,991.51,15.7
21.1,126.0,31.1,7.7,6.6,33.1,88.4,277.0,37.29,26.1
12.7,58.0,100.7,19.3,8.9,29.4,67.8,3082.0,508.02,15.0
10.2,94.8,103.6,10.7,23.9,27.7,85.1,2530.0,293.04,36.2
13.6,135.6,106.5,10.1,24.5,29.1,93.0,1173.0,140.8,57.7
11.6,108.1,59.0,5.9,12.5,27.3,78.5,1062.0,230.69,26.8
23.9,94.0,115.7,12.3,23.5,36.7,78.9,846.0,158.33,56.3
21.9,68.9,41.0,6.6,15.9,30.2,76.1,501.0,143.12,59.7
19.1,70.0,53.9,8.7,10.4,28.2,71.4,761.0,240.93,28.0
22.9,110.3,135.3,9.8,19.0,30.8,76.6,1075.0,123.27,36.8
21.9,149.3,118.6,17.1,18.2,29.2,81.1,883.0,141.5,66.3
12.0,109.4,31.6,18.1,24.8,34.7,94.5,573.0,125.69,23.3
23.3,96.9,59.8,9.5,10.3,37.6,92.8,433.0,136.63,56.4
17.6,117.7,55.7,17.9,18.4,30.7,90.2,449.0,135.39,44.7
21.9,85.8,62.5,17.9,6.0,36.2,91.1,617.0,112.82,15.0
23.3,37.2,59.7,16.5,7.3,32.4,76.4,1231.0,262.28,15.0
14.1,97.5,37.5,7.2,5.1,27.0,83.0,578.0,119.61,21.3
10.8,144.9,85.1,15.4,25.0,34.0,91.3,1311.0,321.64,38.6
12.6,51.0,117.9,19.2,21.0,31.7,73.8,4499.0,604.79,15.0
15.8,112.8,102.8,15.2,20.7,33.5,93.7,1240.0,327.67,40.9
22.1,54.1,110.7,10.0,15.2,36.6,74.6,2166.0,285.14,24.9
22.8,94.3,39.7,12.5,11.0,30.7,81.0,375.0,110.22,39.8
9.1,41.6,144.2,14.7,8.0,36.7,84.8,6498.0,1780.58,15.0
17.2,84.0,130.6,12.7,10.7,34.8,93.3,1832.0,348.81,16.6
15.7,120.7,126.6,6.8,12.5,31.4,68.6,1374.0,297.87,74.2
12.6,71.7,128.8,9.7,20.1,32.8,86.1,3207.0,441.98,49.4
10.9,109.8,141.9,17.0,15.8,29.2,78.2,2036.0,366.66,22.9
14.4,125.5,95.3,17.9,6.5,37.8,69.4,986.0,129.46,15.0
24.1,141.3,54.0,7.1,5.4,33.7,87.2,296.0,39.01,36.2
14.2,58.2,104.0,19.3,7.0,25.6,79.3,3104.0,427.93,15.0
17.3,77.9,119.1,9.9,13.2,29.2,83.1,1718.0,446.47,27.6
20.2,48.3,118.6,14.9,23.7,33.1,71.3,2734.0,537.34,28.7
14.8,149.1,92.6,16.3,17.7,25.7,76.8,943.0,101.0,20.7
24.5,141.2,38.2,17.2,21.0,25.3,81.6,195.0,59.62,33.2
24.4,94.8,74.5,19.2,14.3,30.9,74.2,668.0,141.97,23.1
13.0,131.0,140.5,9.7,12.2,29.3,66.9,1970.0,480.85,40.1
17.0,92.5,100.1,17.9,7.2,30.7,93.7,1261.0,298.79,15.0
13.8,104.8,94.6,7.0,22.5,28.4,77.9,1597.0,176.42,57.9
13.6,40.7,62.3,15.6,20.7,27.1,85.7,1935.0,439.57,15.0
9.6,120.6,74.2,16.1,8.4,34.0,74.4,1010.0,294.7,15.0
18.8,45.3,137.4,15.2,15.2,31.7,72.4,3867.0,341.68,15.0
17.0,129.1,110.0,8.8,14.7,27.6,74.3,1173.0,102.93,43.1
9.8,123.8,124.5,18.1,17.5,29.2,74.3,2551.0,257.61,15.0
13.5,115.0,84.5,7.5,23.9,32.7,79.0,1190.0,164.13,55.4
23.5,34.3,105.6,5.8,16.6,25.9,79.0,3185.0,486.03,37.6
12.8,66.4,59.8,15.8,15.8,26.9,77.4,1634.0,277.32,15.0
11.3,61.6,114.7,12.1,6.0,26.0,64.7,3857.0,419.87,17.2
16.8,73.2,81.3,17.7,6.3,35.6,77.4,1365.0,309.69,15.0
24.8,40.5,83.1,10.8,8.7,34.8,65.9,1559.0,363.06,15.0
12.9,142.4,107.9,7.5,5.6,34.8,64.4,1433.0,187.04,22.4
19.8,96.5,142.4,17.5,19.9,34.3,92.6,1443.0,153.5,31.7
21.2,66.7,37.7,13.2,19.5,33.7,81.2,544.0,61.65,16.0
12.8,77.6,129.0,7.8,7.7,31.2,83.1,2525.0,462.81,31.8
20.7,83.7,65.1,15.8,21.7,33.3,74.1,778.0,98.54,45.3
14.9,102.1,83.3,12.7,8.1,25.5,91.8,1080.0,192.23,15.0
19.1,91.9,32.6,14.1,11.0,33.1,82.3,288.0,83.83,25.8
19.1,140.3,66.1,11.9,10.0,35.1,86.9,587.0,103.15,28.8
17.6,89.6,90.3,17.4,12.4,31.5,72.9,1115.0,167.7,15.0
10.4,149.1,36.7,17.4,10.1,29.6,93.6,493.0,79.65,15.0
22.4,132.2,88.9,15.6,14.8,28.6,88.7,493.0,134.06,30.3
14.1,55.0,141.3,6.6,13.1,33.4,89.9,2731.0,988.83,33.7
12.0,141.7,42.6,17.6,24.7,34.0,66.0,438.0,125.92,38.8
9.7,44.0,121.7,15.1,6.1,36.3,69.5,6324.0,1208.73,15.0
18.5,128.1,79.2,15.5,7.8,29.5,70.0,536.0,115.5,16.1
19.8,75.7,108.6,10.4,6.1,35.0,69.5,1743.0,250.32,31.0
9.3,135.4,61.2,18.2,17.5,32.3,89.9,837.0,269.38,24.5
17.2,134.2,49.1,15.9,6.1,36.5,61.1,363.0,45.95,18.0
12.6,126.7,49.3,6.7,21.7,31.9,62.7,518.0,183.28,76.3
19.3,124.8,38.5,11.1,15.2,31.7,69.6,241.0,74.28,21.6
11.8,66.6,52.3,18.3,15.5,32.5,67.0,1513.0,314.73,16.6
20.1,39.7,109.7,5.7,16.2,34.7,68.1,3272.0,296.45,33.9
15.2,78.4,135.8,19.4,8.4,37.5,87.9,2413.0,504.62,15.0
24.0,50.8,127.7,15.2,9.0,26.0,79.7,1768.0,412.6,18.4
11.2,113.4,112.2,14.5,11.4,25.7,60.2,1577.0,214.1,18.0
14.5,71.5,43.3,9.1,16.9,37.2,75.0,826.0,130.14,15.0
